name,alternatename,street,address,contact_no
ヤマタネ本社,ヤマタネホンシャ • Yamatane本社,null,"越中島1丁目2-21<br>Koto, 東京都 〒<br>135-0044<br>Japan",03 3820 1111
安田倉庫国際営業部,ヤスダソウココクサイエイギョウブ,Shibaura-futo Station,"海岸3丁目3-8<br>Minato, 東京都 〒<br>108-0022<br>Japan",03 3452 7320
ハコヨシ,Hakoyoshi,"Nakaokachimachi Station, Shin Okachimachi Station, Inaricho Station, Keisei Ueno Station, Ueno Station","東上野1丁目20-6<br>Taitō, 東京都 〒<br>110-0015<br>Japan",03 5688 3288
名鉄流通,メイテツリュウツウ,Kasairinkaikoen Station,"臨海町4丁目3-1<br>Edogawa, 東京都 〒<br>134-0086<br>Japan",03 3878 4459
ライゼボックス・ライゼ千駄木ライゼボックス,ライゼボックスライゼセンダギライゼボックス • Raizebokkusu・Raize千駄木Raizebokkusu,null,"千駄木4丁目15-10<br>Bunkyo, 東京都 〒<br>113-0022<br>Japan",03 5814 5259
新開ＳＴＳ東京センター,シンカイエスティエストウキョウセンター • 新開Ｓｔｓ東京Sentā,null,"東海4丁目2-26<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3790 8321
宇徳大井物流センター,ウトクオオイブツリュウセンター • 宇徳大井物流Sentā,null,"東海5丁目4-1<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3790 1201
塚本倉庫千歳事業部,ツカモトソウコチトセジギョウブ,null,"日本橋本町1丁目6-5<br>Chūō, 東京都 〒<br>103-0023<br>Japan",03 3279 2461
上池台トランクルーム,カミイケダイトランクルーム • 上池台Torankurūmu,null,"上池台3丁目44-3<br>Ōta, 東京都 〒<br>145-0064<br>Japan",0120 20 3622
ランドピア,Randopia,null,"日本橋蛎殻町1丁目18-2<br>Chūō, 東京都 〒<br>103-0014<br>Japan",03 3661 5633
日本紙運輸倉庫,ニホンカミウンユソウコ,"Ogawamachi Station, Awajicho Station","神田美土代町9-1<br>Chiyoda, 東京都 〒<br>101-0053<br>Japan",03 5843 7600
富士物流東京支社芝浦物流センター,フジブツリュウトウキョウシシャシバウラブツリュウセンター • 富士物流東京支社芝浦物流Sentā,null,"芝浦4丁目18-25<br>Minato, 東京都 〒<br>108-0023<br>Japan",03 3456 5950
日本興運倉庫部,ニホンコウウンソウコブ,null,"新木場1丁目16-8<br>Koto, 東京都 〒<br>136-0082<br>Japan",03 3521 5790
アルファトランク南品川,アルファトランクミナミシナガワ • Arufatoranku南品川,Aomonoyokocho Station,"南品川2丁目4-7<br>Shinagawa, 東京都 〒<br>140-0004<br>Japan",03 3471 3944
岡葉流通センター,オカバリユウツウセンター • 岡葉流通Sentā,"Senjukotobukicho, Senjunakaicho","千住　中居町18-12<br>Adachi, 東京都 〒<br>120-0035<br>Japan",0120 07 0010
羽田倉庫,ハネダソウコ,null,"城南島2丁目9-1<br>Ōta, 東京都 〒<br>143-0002<br>Japan",03 3790 9107
東菱企業大井営業部,トウリョウキギョウオオイエイギョウブ,null,"東海4丁目310<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3799 4784
平和物産東京物流センター,ヘイワブッサントウキョウブツリュウセンター • 平和物産東京物流Sentā,null,"港南3丁目4-27<br>Minato, 東京都 〒<br>108-0075<br>Japan",03 5715 2130
日鐵物流関東,ニツテツブツリュウカントウシテン,null,"有明3丁目15<br>Koto, 東京都 〒<br>135-0063<br>Japan",03 3528 1151
東京都魚連水産物流通センター,トウキョウトギョレンスイサンブツリュウツウセンター • 東京都魚連水産物流通Sentā,null,"京浜島3丁目1-1<br>Ōta, 東京都 〒<br>143-0003<br>Japan",03 5492 7711
宮田鋼材倉庫,ミヤタコウザイソウコ,null,"新川2丁目15-11<br>Chūō, 東京都 〒<br>104-0033<br>Japan",03 3551 0430
丸武運輸新木場物流センター,マルタケウンユシンキバブツリユウセンター • 丸武運輸新木場物流Sentā,null,"新木場1丁目16-5<br>Koto, 東京都 〒<br>136-0082<br>Japan",03 3521 5661
相模運輸倉庫東京国際営業部,サガミウンユソウコトウキョウシテンコクサイエイギョウブ,null,"勝どき2丁目9-12<br>Chūō, 東京都 〒<br>104-0054<br>Japan",03 3536 6731
スペースプロダクツらく賃ＢＯＸ受付センター,スペ－スプロダクツラクチンボックスウケツケセンタ－ • Supēsupurodakutsuらく賃Ｂｏｘ受付Sentā,null,"中目黒3丁目5-5<br>Meguro, 東京都 〒<br>153-0061<br>Japan",03 3794 1052
日本梱包運輸倉庫人事部,ニホンコンポウウンユソウコジンジブ,null,"明石町6-17<br>Chūō, 東京都 〒<br>104-0044<br>Japan",03 3546 3601
エンゼルボックス,Enzerubokkusu,null,"千歳1丁目4-8<br>Sumida, 東京都 〒<br>130-0025<br>Japan",03 3635 4487
飯島有明倉庫,イイジマアリアケソウコ,null,"有明3丁目15-13<br>Koto, 東京都 〒<br>135-0063<br>Japan",03 5530 0288
全日本倉庫運輸労働組合同盟,ゼンニホンソウコウンユロウドウクミアイドウメイ,Kamata Station,"蒲田5丁目10-2<br>Ōta, 東京都 〒<br>144-0052<br>Japan",03 3732 7651
川口鋳材店倉庫,カワグチチユウザイテンソウコ,null,"元郷4丁目25-2<br>Kawaguchi, 埼玉県 〒<br>332-0011<br>Japan",048 223 7471
ビルマテル新木場倉庫,ビルマテルシンキバソウコ • Birumateru新木場倉庫,null,"新木場3丁目4-14<br>Koto, 東京都 〒<br>136-0082<br>Japan",03 6457 0207
ライゼボックス・ライゼ上板橋二丁目ライゼボックス,ライゼボックスライゼカミイタバシニチョウメツーライゼボックス • Raizebokkusu・Raize上板橋二丁目Raizebokkusu,"Wakagi, Kamiitabashi Station","上板橋2丁目19-15<br>Itabashi, 東京都 〒<br>174-0076<br>Japan",03 3559 0548
太成倉庫関屋営業所,タイセイソウコセキヤエイギョウショ,null,"千住　関屋町9-1<br>Adachi, 東京都 〒<br>120-0024<br>Japan",03 3881 7181
伸共倉庫,シンキョウソウコ,Akihabara Station,"外神田3丁目4-1<br>Chiyoda, 東京都 〒<br>101-0021<br>Japan",03 3251 4323
テイソウ本社,テイソウホンシヤ • Teisou本社,null,"清澄1丁目5-1<br>Koto, 東京都 〒<br>135-0024<br>Japan",03 3642 0121
田中倉庫,タナカソウコ,Ikohoncho,"伊興本町1丁目1325<br>Adachi, 東京都 〒<br>121-0807<br>Japan",03 3899 4218
文友社物流センター,ブンユウシャブツリュウセンター • 文友社物流Sentā,null,"千石1丁目9-1<br>Koto, 東京都 〒<br>135-0015<br>Japan",03 3645 8676
王子物流東日本事業部営業部,オウジブツリュウヒガシニホンジギョウブエイギョウブ,null,"銀座5丁目128<br>Chūō, 東京都 〒<br>104-0061<br>Japan",03 3248 3865
リバーストン,Ribāsuton,Omori Station,"大森北1丁目26-3<br>Ōta, 東京都 〒<br>143-0016<br>Japan",03 3768 2017
テイソウ清澄営業所,テイソウキヨスミエイギヨウシヨ • Teisou清澄営業所,null,"清澄1丁目5-1<br>Koto, 東京都 〒<br>135-0024<br>Japan",03 3642 0127
ダイイチトランクルーム水道,ダイイチトランクルームスイドウ • Daiichitorankurūmu水道,"Edogawabashi Station, Suido","水道2丁目5-4<br>Bunkyo, 東京都 〒<br>112-0005<br>Japan",03 3830 3666
グリーンサービス,Gurīnsābisu,Honkomagome,"本駒込3丁目5-2<br>Bunkyo, 東京都 〒<br>113-0021<br>Japan",03 3827 5082
吉田倉庫,ヨシダソウコ,null,"潮見2丁目10-22<br>Koto, 東京都 〒<br>135-0052<br>Japan",03 5632 1448
月島倉庫本社管理部門,ツキシマソウコホンシャカンリブモン,null,"勝どき4丁目7-7<br>Chūō, 東京都 〒<br>104-0054<br>Japan",03 5560 8550
真北運輸倉庫,マキタウンユソウコ,null,"日本橋蛎殻町1丁目29-4<br>Chūō, 東京都 〒<br>103-0014<br>Japan",03 3669 1866
丸嘉運輸倉庫,マルカウンユソウコ,null,"平和島2丁目1-1<br>Ōta, 東京都 〒<br>143-0006<br>Japan",03 3767 2856
新和興業東京物流センター,シンワコウギョウトウキョウブツリュウセンター • 新和興業東京物流Sentā,null,"清澄2丁目10-2<br>Koto, 東京都 〒<br>135-0024<br>Japan",03 3820 8203
清興運輸倉庫,セイコウウンユソウコ,null,"福住1丁目2-6<br>Koto, 東京都 〒<br>135-0032<br>Japan",03 3643 8893
丸武運輸有明物流センター,マルタケウンユアリアケブツリュウセンター • 丸武運輸有明物流Sentā,null,"東雲2丁目14-38<br>Koto, 東京都 〒<br>135-0062<br>Japan",03 3528 0780
藤田グリーンサービス,フジタグリーンサービス • 藤田Gurīnsābisu,Mejirodai,"関口2丁目10-8<br>Bunkyo, 東京都 〒<br>112-0014<br>Japan",03 5319 4271
コーウン流通草加営業所,コーウンリュウツウソウカエイギョウショ • Kōun流通草加営業所,null,"新里町380<br>Soka, 埼玉県 〒<br>340-0031<br>Japan",0489 22 2730
丸正物流センター,マルショウブツリュウセンター • 丸正物流Sentā,null,"千住　仲町24-3<br>Adachi, 東京都 〒<br>120-0036<br>Japan",03 5284 3451
笹谷商事,ササヤショウジ,null,"平和島2丁目1-1<br>Ōta, 東京都 〒<br>143-0006<br>Japan",03 3765 3381
三菱倉庫東京庶務課,ミツビシソウコトウキヨウシテンシヨムカ,null,"新川1丁目28-24<br>Chūō, 東京都 〒<br>104-0033<br>Japan",03 3297 8515
東京倉庫業務部営業課,トウキヨウソウコギヨウムブエイギヨウカ,Oi Keibajomae Station,"勝島1丁目4-3<br>Shinagawa, 東京都 〒<br>140-0012<br>Japan",03 3761 1159
トランクルームマキノ,Torankurūmumakino,"Hyakunincho, Takadanobaba Station","高田馬場4丁目40-13<br>Shinjuku, 東京都 〒<br>169-0075<br>Japan",03 5330 5552
パナソニックロジスティクス浦安センター,パナソニックロジスティクスウラヤスセンター • Panasonikkurojisutikusu浦安Sentā,null,"港78<br>Urayasu, 千葉県 〒<br>279-0024<br>Japan",047 354 6551
三葉,ミツバ,Shiinamachi Station,"長崎1丁目17-8<br>Toshima, 東京都 〒<br>171-0051<br>Japan",03 5986 1270
万年屋回漕店品川倉庫,マンネンヤカイソウテンシナガワソウコ,null,"港南5丁目1―3<br>Minato, 東京都 〒<br>108-0075<br>Japan",03 3471 4998
二葉平和島冷凍物流センター,フタバヘイワジマレイトウブツリュウセンター • 二葉平和島冷凍物流Sentā,Ryutsu Center Station,"平和島6丁目5-24<br>Ōta, 東京都 〒<br>143-0006<br>Japan",03 5471 8200
スペースプロダクツらく賃ＢＯＸ受付センター,スペースプロダクツラクチンボックスウケツケセンター • Supēsupurodakutsuらく賃Ｂｏｘ受付Sentā,null,"日本橋浜町3丁目45-5<br>Chūō, 東京都 〒<br>103-0007<br>Japan",03 3664 6182
三協大井冷凍ターミナル部,サンキョウオオイレイトウターミナルブ • 三協大井冷凍Tāminaru部,null,"東海5丁目3-5<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3790 2031
石川運輸倉庫,イシカワウンユソウコ,Kugahara Station,"西嶺町18-9<br>Ōta, 東京都 〒<br>145-0075<br>Japan",03 3757 1140
共和物産有明物流センター,キョウワブッサンアリアケブツリュウセンタ－ • 共和物産有明物流Sentā,null,"有明1丁目1-6<br>Koto, 東京都 〒<br>135-0063<br>Japan",03 3529 3521
日新現業部東京現業第一課大井倉庫営業所,ニッシンゲンギョウブトウキョウゲンギョウダイイチカオオイソウコエイギョウショ,null,"東海4丁目2-15<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3790 2401
志水倉庫,シミズソウコ,Oku Station,"西尾久4丁目7-10<br>Arakawa, 東京都 〒<br>116-0011<br>Japan",03 3893 7218
光倉庫,ヒカリソウコ,null,"町屋6丁目11-10<br>Arakawa, 東京都 〒<br>116-0001<br>Japan",03 3892 1333
的場運輸倉庫,マトバウンユソウコ,null,"末広1丁目16-37<br>Kawaguchi, 埼玉県 〒<br>332-0006<br>Japan",048 222 6661
豊玉運輸倉庫,トヨタマウンユソウコ,Sakuradai Station,"豊玉上2丁目56<br>Nerima, 東京都 〒<br>176-0011<br>Japan",03 3991 0333
五洋ロジテック,ゴヨウロジテック • 五洋Rojitekku,Onarimon Station,"新橋6丁目19-19<br>Minato, 東京都 〒<br>105-0004<br>Japan",03 5404 7800
堀川管財,ホリカワカンザイ,null,"平和島5丁目513<br>Ōta, 東京都 〒<br>143-0006<br>Japan",03 3764 7041
岩野物産晴海倉庫,イワノブツサンハルミソウコ,null,"晴海4丁目5―16<br>Chūō, 東京都 〒<br>104-0053<br>Japan",03 3533 3925
東洋運輸倉庫若洲センター,トウヨウウンユソウコワカスセンター • 東洋運輸倉庫若洲Sentā,null,"若洲2丁目2-3<br>Koto, 東京都 〒<br>136-0083<br>Japan",03 5569 5161
アルファトランク高田馬場,アルファトランクタカダノババ • Arufatoranku高田馬場,"Omokagebashi Station, Gakushuinshita Station, Nishi-Waseda Station","西早稲田3丁目25-5<br>Shinjuku, 東京都 〒<br>169-0051<br>Japan",03 5272 8022
中村第三倉庫,ナカムラダイサンソウコ,null,"京浜島1丁目4-3<br>Ōta, 東京都 〒<br>143-0003<br>Japan",03 5492 7331
三菱倉庫東京大井冷蔵営業所,ミツビシソウコトウキョウシテンオオイレイゾウエイギョウショ,null,"八潮2丁目7-10<br>Shinagawa, 東京都 〒<br>140-0003<br>Japan",03 3799 6785
池町運輸倉庫,イケマチウンユソウコ,null,"経堂4丁目39-10<br>Setagaya, 東京都 〒<br>156-0052<br>Japan",03 5451 6600
第三運輸倉庫,ダイサンウンユソウコ,Hirai Station,"平井7丁目2-20<br>Edogawa, 東京都 〒<br>132-0035<br>Japan",03 3612 6171
寺田倉庫不動産グループ,テラダソウコフドウサングループ • 寺田倉庫不動産Gurūpu,Tennozuairu station,"東品川2丁目6-10<br>Shinagawa, 東京都 〒<br>140-0002<br>Japan",03 5479 1616
丸二倉庫ＭＢＬセンター,マルニソウコエムビイエルセンター • 丸二倉庫Ｍｂｌsentā,Funabori Station,"松江5丁目17-20<br>Edogawa, 東京都 〒<br>132-0025<br>Japan",03 5674 2303
東海倉庫東京連絡所,トウカイソウコトウキヨウレンラクシヨ,Kanda Station,"日本橋室町4丁目6-2<br>Chūō, 東京都 〒<br>103-0022<br>Japan",03 3279 2659
スペースプロダクツらく賃ＢＯＸ受付センター,スペースプロダクツラクチンボックスウケツケセンター • Supēsupurodakutsuらく賃Ｂｏｘ受付Sentā,"Shibaura-futo Station, Tamachi","海岸3丁目1-6<br>Minato, 東京都 〒<br>108-0022<br>Japan",03 3453 3937
新宿倉庫,シンジユクソウコ,"Shinjuku Station, Shinjuku Gyoen Mae Station, Shinjyuku-Sanchome Station","千駄ケ谷5丁目336<br>Shibuya, 東京都 〒<br>151-0051<br>Japan",03 3352 2110
中沢乳業城南島物流センター,ナカザワニュウギョウジョウナンジマブツリュウセンター • 中沢乳業城南島物流Sentā,null,"城南島4丁目9-4<br>Ōta, 東京都 〒<br>143-0002<br>Japan",03 5755 6711
丸運東京共配センター,マルウントウキョウキョウハイセンター • 丸運東京共配Sentā,null,"八潮3丁目3-10<br>Shinagawa, 東京都 〒<br>140-0003<br>Japan",03 3790 3911
三京トランクイン白山,サンキョウトランクインハクサン • 三京Torankuin白山,"Hakusan Station, Hakusan","白山1丁目31-15<br>Bunkyo, 東京都 〒<br>113-0001<br>Japan",03 5689 1451
安田倉庫不動産事業部,ヤスダソウコフドウサンジギヨウブ,Shibaura-futo Station,"海岸3丁目3-8<br>Minato, 東京都 〒<br>108-0022<br>Japan",03 3452 7317
コウヨウ梱包運輸倉庫,コウヨウコンポウウンユソウコ • Kouyou梱包運輸倉庫,Higashi-hokima,"南花畑2丁目45-9<br>Adachi, 東京都 〒<br>121-0062<br>Japan",03 3850 8345
桜井倉庫平和島営業所,サクライソウコヘイワジマエイギヨウショ,Ryutsu Center Station,"平和島3丁目4-1<br>Ōta, 東京都 〒<br>143-0006<br>Japan",03 3765 0821
ホウスイ大井冷蔵庫,ホウスイオオイレイゾウコ • Housui大井冷蔵庫,null,"東海5丁目3-4<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3790 2581
三菱倉庫株式会社東京支店青海営業所有明倉庫,ミツビシソウコトウキョウシテンアオミエイギョウショアリアケソウコ,null,"有明4丁目3-19<br>Koto, 東京都 〒<br>135-0063<br>Japan",03 3520 1461
平和倉庫板橋営業所,ヘイワソウコイタバシエイギョウショ,Shimura Sakaue Station,"小豆沢2丁目32-18<br>Itabashi, 東京都 〒<br>174-0051<br>Japan",03 3967 2430
丸邦運輸倉庫,マルクニウンユソウコ,Shibaura-futo Station,"海岸3丁目25-7<br>Minato, 東京都 〒<br>108-0022<br>Japan",03 3453 6781
銀河新木場物流センター,ギンガシンキバブツリュウセンター • 銀河新木場物流Sentā,null,"新木場1丁目2-16<br>Koto, 東京都 〒<br>136-0082<br>Japan",03 3521 7887
入船鋼材港倉庫,イリフネコウザイミナトソウコ,null,"八丁堀3丁目11-12<br>Chūō, 東京都 〒<br>104-0032<br>Japan",03 3551 9464
ベニレイ・ロジスティクス城南島事業所,ベニレイロジスティクスジョウナンジマジギョウショ • Benirei・Rojisutikusu城南島事業所,null,"城南島5丁目1-1<br>Ōta, 東京都 〒<br>143-0002<br>Japan",03 3799 8263
ワシントン靴店物流センター,ワシントンクツテンブツリュウセンター • Washinton靴店物流Sentā,Hinode Station,"海岸2丁目5-23<br>Minato, 東京都 〒<br>105-0022<br>Japan",03 5442 7805
ワタナベ流通,ワタナベリュウツウ • Watanabe流通,Nishi-Waseda Station,"西早稲田2丁目12-5<br>Shinjuku, 東京都 〒<br>169-0051<br>Japan",03 3203 8489
アイ・エス・エス鬼高センタ,アイエスエスオニダカセンタ • Ai・Esu・Esu鬼高Senta,null,"鬼高4丁目2-33<br>Ichikawa, 千葉県 〒<br>272-0015<br>Japan",047 378 2211
ワールド流通センター,ワールドリュウツウセンター • Wārudo流通Sentā,null,"青海3丁目2-17<br>Koto, 東京都 〒<br>135-0064<br>Japan",03 3520 2111
泉興産（倉庫）物流事業部,イズミコウサンブツリユウジギヨウブ,null,"勝どき4丁目5-17<br>Chūō, 東京都 〒<br>104-0054<br>Japan",03 3532 2511
モリタ工業領家倉庫,モリタコウギヨウリョウケソウコ • Morita工業領家倉庫,null,"領家1丁目16-8<br>Kawaguchi, 埼玉県 〒<br>332-0004<br>Japan",048 225 2165
トランクルーム祐天寺マイトランク受付センター,トランクルームユウテンジマイトランクウケツケセンター • Torankurūmu祐天寺Maitoranku受付Sentā,"Yutenji Station, Kamimeguro","祐天寺1丁目23-26<br>Meguro, 東京都 〒<br>153-0052<br>Japan",03 3716 8950
摂陽倉庫,セツヨウソウコ,Sengakuji Station,"三田4丁目8-30<br>Minato, 東京都 〒<br>108-0073<br>Japan",03 3454 4435
長谷川,ハセガワ,"Kitashinagawa Station, Shinagawa Station","東品川1丁目5-10<br>Shinagawa, 東京都 〒<br>140-0002<br>Japan",03 3471 0815
ＪＰ‐１東東京クールセンター,ジェイピーワンヒガシトウキョウクールセンター • Ｊｐ‐１東東京Kūrusentā,Kasairinkaikoen Station,"臨海町4丁目2-1<br>Edogawa, 東京都 〒<br>134-0086<br>Japan",03 3688 4994
Hello Storage Jinbocho,ハローストレージ神田神保町 • ハローストレージカンダ　ジンボウチョウ,Kanda Ogawacho,"神田神保町3-11-1<br>Chiyoda, 東京都 〒<br>456-0073<br>Japan",03 5577 9227
斎長物産物流センター,サイチヨウブツサンブツリユウセンター • 斎長物産物流Sentā,null,"鉄鋼通り2丁目3-4<br>Urayasu, 千葉県 〒<br>279-0025<br>Japan",047 352 4421
ライゼボックス・ライゼ三軒茶屋１・２ライゼボックス,ライゼボックスライゼサンゲンヂャヤイチニライゼボックス • Raizebokkusu・Raize三軒茶屋１・２Raizebokkusu,null,"三軒茶屋2丁目22<br>Setagaya, 東京都 〒<br>154-0024<br>Japan",03 3421 0885
千代田冷蔵,チヨダレイゾウ,Shoinjinjya Mae Station,"若林4丁目16-23<br>Setagaya, 東京都 〒<br>154-0023<br>Japan",03 3413 1401
産業倉庫,サンギョウソウコ,null,"枝川2丁目4-12<br>Koto, 東京都 〒<br>135-0051<br>Japan",03 3645 8181
東京急送,トウキョウキュウソウ,Kasairinkaikoen Station,"臨海町4丁目2-1<br>Edogawa, 東京都 〒<br>134-0086<br>Japan",03 3878 5611
キララ大田物流センター,キララオオタブツリュウセンター • Kirara大田物流Sentā,null,"東海1丁目3-6<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 5755 1602
丸孝運輸倉庫,マルコウウンユソウコ,Shikahama,"鹿浜4丁目6-15<br>Adachi, 東京都 〒<br>123-0864<br>Japan",03 3853 1111
ニップコーポレーション東京物流センター,ニツプコーポレーショントウキョウブツリュウセンター • Nippukōporēshon東京物流Sentā,null,"新砂3丁目1018<br>Koto, 東京都 〒<br>136-0075<br>Japan",03 3615 5851
木所化成亀戸倉庫,キドコロカセイカメイドソウコ,Bunka,"亀戸3丁目39-6<br>Koto, 東京都 〒<br>136-0071<br>Japan",03 3681 6395
陽光産業本社倉庫,ヨウコウサンギヨウホンシヤソウコ,null,"桜台2丁目30-21<br>Nerima, 東京都 〒<br>176-0002<br>Japan",03 3994 8120
倉庫会館,ソウコカイカン,null,"永代1丁目13-3<br>Koto, 東京都 〒<br>135-0034<br>Japan",03 3641 0335
タカセ,Takase,Shinbashi Station,"新橋1丁目10-9<br>Minato, 東京都 〒<br>105-0004<br>Japan",03 3571 9497
ＳＣＳＫ有明物流センター,エスシーエスケイアリアケブツリュウセンター • Ｓｃｓｋ有明物流Sentā,null,"有明1丁目2-39<br>Koto, 東京都 〒<br>135-0063<br>Japan",03 3527 6790
丸正倉庫,マルシヨウソウコ,null,"大杉3丁目413<br>Edogawa, 東京都 〒<br>132-0022<br>Japan",03 3651 8820
目黒金属商会倉庫,メグロキンゾクシヨウカイソウコ,Aobadai,"青葉台1丁目30-12<br>Meguro, 東京都 〒<br>153-0042<br>Japan",03 3711 7551
かねまた運輸倉庫,カネマタウンユソウコ,null,"新木場3丁目7-6<br>Koto, 東京都 〒<br>136-0082<br>Japan",03 3521 1271
シンプラス,Shinpurasu,Kasairinkaikoen Station,"臨海町3丁目5-1<br>Edogawa, 東京都 〒<br>134-0086<br>Japan",03 5659 2811
三井倉庫事務所,ミツイソウコジムショ,null,"本町4丁目6-4<br>Kawaguchi, 埼玉県 〒<br>332-0012<br>Japan",048 222 3202
第一冷蔵団地工場,ダイイチレイゾウダンチコウジョウ,Ryutsu Center Station,"平和島6丁目3-1<br>Ōta, 東京都 〒<br>143-0006<br>Japan",03 3764 5357
丸二倉庫ＴＰＤセンター,マルニソウコティピイディイセンター • 丸二倉庫Ｔｐｄsentā,null,"西瑞江5丁目10―9<br>Edogawa, 東京都 〒<br>134-0015<br>Japan",03 5605 2468
本牧埠頭倉庫,ホンモクフトウソウコ,null,"本牧　ふ頭5<br>横浜市 中区, 神奈川県 〒<br>231-0811<br>Japan",045 623 7531
国際たばこ倉庫,コクサイタバコソウコ,null,"八潮2丁目6-12<br>Shinagawa, 東京都 〒<br>140-0003<br>Japan",03 3799 6200
三井倉庫関東支社大井ターミナル事務所,ミツイソウコカントウシシャオオイターミナルジムショ • 三井倉庫関東支社大井Tāminaru事務所,null,"東海4丁目3-8<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3790 9011
ライゼボックスライゼ南行徳公園ライゼボックス,ライゼボックスライゼミナミギョウトクコウエンライゼボックス • Raizebokkusuraize南行徳公園Raizebokkusu,null,"欠真間2丁目26-6<br>Ichikawa, 千葉県 〒<br>272-0142<br>Japan",047 395 5105
押入れ産業足立店,オシイレサンギョウアダチテン,Tonerikoen Station,"入谷6丁目2-11<br>Adachi, 東京都 〒<br>121-0836<br>Japan",03 3855 3278
横浜冷凍東京物流センター,ヨコハマレイトウトウキョウブツリュウセンター • 横浜冷凍東京物流Sentā,null,"東海6丁目1-1<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3799 4800
日和運輸倉庫本社引越センター,ニチワウンユソウコホンシヤヒツコシセンター • 日和運輸倉庫本社引越Sentā,null,"久が原2丁目10-15<br>Ōta, 東京都 〒<br>146-0085<br>Japan",03 5700 0041
ヒサゴサービス,Hisagosābisu,"Shimura San-chome Station, Ukima Funato Station","東坂下1丁目18-2<br>Itabashi, 東京都 〒<br>174-0042<br>Japan",03 3968 0424
ロジスティクス・ネットワーク品川物流センター,ロジスティクスネットワークシナガワブツリュウセンター • Rojisutikusu・Nettowāku品川物流Sentā,null,"港南5丁目3-34<br>Minato, 東京都 〒<br>108-0075<br>Japan",03 3450 2101
新扇堂倉庫,シンセンドウソウコ,Shinozaki Station,"篠崎町6丁目21-3<br>Edogawa, 東京都 〒<br>133-0061<br>Japan",03 5666 6890
真北運輸倉庫,マキタウンユソウコ,Oi Keibajomae Station,"勝島1丁目4-11<br>Shinagawa, 東京都 〒<br>140-0012<br>Japan",03 3763 1300
赤羽橋ライゼボックス,アカバネバシライゼボックス • 赤羽橋Raizebokkusu,"Akabanebashi Station, Azabu-Mamianacho","東麻布1丁目29-31<br>Minato, 東京都 〒<br>106-0044<br>Japan",03 3586 3778
若松梱包運輸倉庫東京オフィス,ワカマツコンポウウンユソウコトウキョウオフィス • 若松梱包運輸倉庫東京Ofisu,"Kojimachi Station, Yotsuya Station","麹町4丁目8<br>Chiyoda, 東京都 〒<br>102-0083<br>Japan",03 5226 5088
宝組勝島倉庫,タカラグミカツシマソウコ,Oi Keibajomae Station,"勝島1丁目3-49<br>Shinagawa, 東京都 〒<br>140-0012<br>Japan",03 3763 1231
東京ビルアート,トウキヨウビルアート • 東京Biruāto,null,"日本橋箱崎町21-1<br>Chūō, 東京都 〒<br>103-0015<br>Japan",03 3668 3535
ライゼボックスライゼ南行徳ライゼボックス,ライゼボックスライゼミナミギョウトクライゼボックス • Raizebokkusuraize南行徳Raizebokkusu,null,"相之川3丁目11-17<br>Ichikawa, 千葉県 〒<br>272-0143<br>Japan",047 397 7618
日辰倉庫,ニッシンソウコ,"Nakaokachimachi Station, Okachimachi Station, Ueno okachimachi Station","上野5丁目10-8<br>Taitō, 東京都 〒<br>110-0005<br>Japan",03 3831 3203
石川紙業梅田倉庫,イシカワシギョウウメダソウコ,null,"梅田5丁目3-15<br>Adachi, 東京都 〒<br>123-0851<br>Japan",03 3880 6158
三京,サンキョウ,Nishi-azabu,"西麻布4丁目20-3<br>Minato, 東京都 〒<br>106-0031<br>Japan",03 3406 4311
住友倉庫東京大井営業所大井倉庫,スミトモソウコトウキョウシテンオオイエイギョウショオオイソウコ,null,"東海4丁目5-18<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3790 0071
ユウロード城東センター,ユウロードジョウトウセンター • Yuurōdo城東Sentā,Mizumoto,"水元1丁目21-7<br>Katsushika, 東京都 〒<br>125-0032<br>Japan",03 3609 1009
ライゼボックスライゼ日吉ライゼボックス,ライゼボックスライゼヒヨシライゼボックス • Raizebokkusuraize日吉Raizebokkusu,null,"日吉7丁目7-4<br>横浜市 港北区, 神奈川県 〒<br>223-0061<br>Japan",045 560 1718
ライゼボックス・ライゼ花畑ライゼボックス,ライゼボックスライゼハナハタライゼボックス • Raizebokkusu・Raize花畑Raizebokkusu,Hanahata,"花畑3丁目17-2<br>Adachi, 東京都 〒<br>121-0061<br>Japan",03 5831 0077
光洋冷蔵城南工場,コウヨウレイゾウジョウナンコウジョウ,null,"城南島5丁目1-1<br>Ōta, 東京都 〒<br>143-0002<br>Japan",03 3799 8229
日本運輸倉庫本社,ニホンウンユソウコホンシヤ,"Inaricho Station, Shin Okachimachi Station, Keisei Ueno Station, Ueno Station","東上野3丁目1-13<br>Taitō, 東京都 〒<br>110-0015<br>Japan",03 5828 9801
