name,alternatename,street,address,contact_no
千住倉庫若洲営業所,センジュソウコワカスエイギョウショ,null,"若洲2丁目6-6<br>Koto, 東京都 〒<br>136-0083<br>Japan",03 5569 2251
ＮＵロジテック,エヌユウロジテック • Ｎｕrojitekku,Mishuku,"池尻3丁目27-9<br>Setagaya, 東京都 〒<br>154-0001<br>Japan",03 3413 1541
升本卸売り倉庫ビル酒類販売部,マスモトオロシウリソウコビルシユルイハンバイブ • 升本卸売り倉庫Biru酒類販売部,"Seibu Shinjuku Station, Shinjuku Nishiguchi Station, Okubo Station, Shinjuku Station","西新宿7丁目4-3<br>Shinjuku, 東京都 〒<br>160-0023<br>Japan",03 3369 1222
カンダコーポレーション浮間物流センター,カンダコーポレーションウキマブツリュウセンター • Kandakōporēshon浮間物流Sentā,"Ukima Funato Station, Ukima Funato Station","浮間4丁目22-1<br>Kita, 東京都 〒<br>115-0051<br>Japan",03 3966 3221
オーティーエス堀江センター,オーティーエスホリエセンター • Ōtīesu堀江Sentā,Seishincho,"南葛西3丁目8-14<br>Edogawa, 東京都 〒<br>134-0085<br>Japan",03 3869 5051
ユトー,Yutō,null,"新田5丁目63<br>Ichikawa, 千葉県 〒<br>272-0035<br>Japan",047 325 1111
橋場城南営業所,ハシバジョウナンエイギョウショ,Nakaikegami,"仲池上2丁目315<br>Ōta, 東京都 〒<br>146-0081<br>Japan",03 3755 3651
ワイズインテリジェンス,Waizuinterijensu,null,"新川2丁目6-17<br>Chūō, 東京都 〒<br>104-0033<br>Japan",03 3523 2550
関東倉庫,カントウソウコ,Ikejiriohashi Station,"池尻2丁目23-4<br>Setagaya, 東京都 〒<br>154-0001<br>Japan",03 3424 0204
三京トランクイン両国,サンキョウトランクインリョウゴク • 三京Torankuin両国,Ryogoku Station,"両国1丁目18-1<br>Sumida, 東京都 〒<br>130-0026<br>Japan",03 5638 6366
河内園倉庫,カワチエンソウコ,null,"築地6丁目611<br>Chūō, 東京都 〒<br>104-0045<br>Japan",03 3541 4188
東洋運輸倉庫,トウヨウウンユソウコ,"Nishi-Shinbashi, Kasumigaseki Station","西新橋1丁目22-10<br>Minato, 東京都 〒<br>105-0003<br>Japan",03 3503 4711
ムーヴアップ,Mūvuappu,Yoga Station,"用賀2丁目31-7<br>Setagaya, 東京都 〒<br>158-0097<br>Japan",0120 86 1956
アルファトランク麻布十番,アルファトランクアザブジュウバン • Arufatoranku麻布十番,"Akabanebashi Station, Azabujuban Station","三田1丁目6-7<br>Minato, 東京都 〒<br>108-0073<br>Japan",03 5443 8066
浅見運輸倉庫全国便センター,アサミウンユソウコゼンコクビンセンター • 浅見運輸倉庫全国便Sentā,Fukazawa,"深沢4丁目24-20<br>Setagaya, 東京都 〒<br>158-0081<br>Japan",03 3705 4455
合資稲川商事,イナガワシヨウジ,Kikukawa Station,"扇橋1丁目13-2<br>Koto, 東京都 〒<br>135-0011<br>Japan",03 3644 4127
三丸倉庫,ミツマルソウコ,Sano,"佐野2丁目15-10<br>Adachi, 東京都 〒<br>121-0053<br>Japan",03 3605 8721
東京輸送管理,トウキョウユソウカンリ,Minamisenju Station,"南千住2丁目30-10<br>Arakawa, 東京都 〒<br>116-0003<br>Japan",03 3806 7521
タウンボックス,Taunbokkusu,null,"南葛西1丁目15-8<br>Edogawa, 東京都 〒<br>134-0085<br>Japan",0120 19 4126
クラショウ物流センター,クラショウブツリュウセンター • Kurashou物流Sentā,Higashi-shinmachi,"東新町2丁目60-4<br>Itabashi, 東京都 〒<br>174-0074<br>Japan",03 5965 4631
サンライン,Sanrain,"Hozukacho, Nishi-kahei","一ツ家2丁目7-10<br>Adachi, 東京都 〒<br>121-0075<br>Japan",03 3850 9801
横浜倉庫墨田営業所,ヨコハマソウコスミダエイギョウショ,Tsutsumidori,"堤通1丁目2-8<br>Sumida, 東京都 〒<br>131-0034<br>Japan",03 3614 4321
山三倉庫ハイツ笹塚管理人室,ヤマサンソウコハイツササヅカカンリニンシツ • 山三倉庫Haitsu笹塚管理人室,"Sasazuka Station, Daitabashi Station","笹塚1丁目62-7<br>Shibuya, 東京都 〒<br>151-0073<br>Japan",03 3374 1290
スペースプロダクツらく賃ＢＯＸ受付センター,スペースプロダクツラクチンボックスウケツケセンター • Supēsupurodakutsuらく賃Ｂｏｘ受付Sentā,Kojimachi Station,"麹町3丁目5-1<br>Chiyoda, 東京都 〒<br>102-0083<br>Japan",03 3230 9642
ライゼボックスライゼ飯塚ライゼボックス,ライゼボックスライゼイイヅカライゼボックス • Raizebokkusuraize飯塚Raizebokkusu,null,"飯塚3丁目9-7<br>Kawaguchi, 埼玉県 〒<br>332-0023<br>Japan",048 251 4207
五島運輸倉庫,ゴトウウンユソウコ,Iriya,"入谷7丁目15-6<br>Adachi, 東京都 〒<br>121-0836<br>Japan",03 3855 6411
濃飛倉庫運輸東京深川営業所,ノウヒソウコウンユトウキヨウシテンフカガワエイギヨウシヨ,null,"枝川1丁目7-15<br>Koto, 東京都 〒<br>135-0051<br>Japan",03 3647 5611
ホウスイ豊海第三冷蔵庫,ホウスイトヨミダイサンレイゾウコ • Housui豊海第三冷蔵庫,null,"豊海町8-19<br>Chūō, 東京都 〒<br>104-0055<br>Japan",03 3533 1251
鈴与大井総合物流センター,スズヨオオイソウゴウブツリュウセンター • 鈴与大井総合物流Sentā,null,"東海4丁目9-3<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3799 4681
仮屋流通サービス,カリヤリユウツウサービス • 仮屋流通Sābisu,Motoki,"本木1丁目23-32<br>Adachi, 東京都 〒<br>123-0853<br>Japan",03 3840 9795
日本梱包運輸倉庫国際営業部,ニホンコンポウウンユソウココクサイエイギョウブ,null,"明石町6-17<br>Chūō, 東京都 〒<br>104-0044<br>Japan",03 3546 3613
住友倉庫東京本社国際業務部国際業務課,スミトモソウコトウキョウホンシャコクサイギョウムブコクサイギョウムカ,null,"新川2丁目27-1<br>Chūō, 東京都 〒<br>104-0033<br>Japan",03 3297 2517
日本梱包運輸倉庫引越営業部,ニホンコンポウウンユソウコヒッコシエイギョウブ,null,"明石町6-17<br>Chūō, 東京都 〒<br>104-0044<br>Japan",03 3541 5316
ユアスペース,Yuasupēsu,Jinbocho Station,"神田神保町1丁目28<br>Chiyoda, 東京都 〒<br>101-0051<br>Japan",03 3294 1180
